,House Name,House Price,House Bed,House Location,House Description
0,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
1,1 Bedroom+DEN- All inclusive- January Half Price!!,"1,142.00",,Ottawa 28/12/2022,1 Bedroom+DEN- All inclusive- January Half Price!!
2,1 Bedroom Condo W/ Den in Downtown Toronto,"2,000.00",,Toronto < 5 hours ago,1 Bedroom Condo W/ Den in Downtown Toronto
3,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
4,Condo Apartment For Rent In Beamsville Utopia,"1,800.00",,Lincoln < 8 hours ago,Condo Apartment For Rent In Beamsville Utopia
5,695 Richmond - 2 Bedrooms For Rent,"1,575.00",,London < 11 hours ago,695 Richmond - 2 Bedrooms For Rent
6,1BR + den condo Kitchener (brand new),"1,850.00",,Kitchener < 11 hours ago,1BR + den condo Kitchener (brand new)
7,Lakefront condo for rent,"1,600.00",,Kenora < 12 hours ago,Lakefront condo for rent
8,Renovated one bedroom plus den condo beside Experimental Farm,"1,700.00",,Ottawa < 13 hours ago,Renovated one bedroom plus den condo beside Experimental Farm
9,Two Bed Two washroom brand new condo for lease( Windsor),"2,000.00",,Windsor < 18 hours ago,Two Bed Two washroom brand new condo for lease( Windsor)
10,2 Bedroom Condo for Rental ~ Plateau Gatineau,"1,655.00",,Gatineau 31/12/2022,2 Bedroom Condo for Rental ~ Plateau Gatineau
11,17 Eldon Hall 2Bed Apt,"1,850.00",,Kingston 31/12/2022,17 Eldon Hall 2Bed Apt
12,2 BR Condo with Panoramic view of Ottawa River,"1,499.00",,Gatineau 31/12/2022,2 BR Condo with Panoramic view of Ottawa River
13,1 bedroom +den fully renovated condo for with a walkout patio,"1,550.00",,St. Catharines 31/12/2022,1 bedroom +den fully renovated condo for with a walkout patio
14,2 Bed condo for rent . Amazing location !! 705 791 9877,"1,875.00",,Barrie 31/12/2022,2 Bed condo for rent . Amazing location !! 705 791 9877
15,"Brantford - 1bed + den, 1 bath BRAND NEW!","1,850.00",,Brantford 31/12/2022,"Brantford - 1bed + den, 1 bath BRAND NEW!"
16,2Br Condo For Rent,"1,900.00",,Hamilton 30/12/2022,2Br Condo For Rent
17,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free,"1,780.00",,Gatineau 30/12/2022,1 bdr sublet(Feb-Apr) or Lease assignment +1 month free
18,Penthouse 1 Bedroom Condo for rent in South End Guelph,"2,000.00",,Guelph 30/12/2022,Penthouse 1 Bedroom Condo for rent in South End Guelph
19,SMART Never lived in One bedroom + Den Down town Kitchener,"1,870.00",,Kitchener / Waterloo 30/12/2022,SMART Never lived in One bedroom + Den Down town Kitchener
